,murderandn,robbery,aggravated,burglary,larcenythe,motorvehic,arson,otherassau,forgeryand,fraud,embezzleme,stolenprop,vandalism,weaponscar,prostituti,sexoffense,drugabusev,gambling,offensesag,drivingund,liquorlaws,drunkennes,disorderly,allotherof,population,year,state,decrim,medical,recreational,st
58,286,1152,8468,5265,19751,867,215,23869,1230,2376,34,2016,3574,1587,156,1192,18194,99,1844.0,13159.0,2263,4477.0,12032.0,53663,3082240.0,2000,LOUISIANA,0,0,0,LA
59,4,147,629,1327,5386,371,64,6855,341,1161,11,303,1720,261,23,284,5064,3,477.0,7334.0,3067,27.0,2033.0,18370,1249323.0,2000,MAINE,1,1,0,ME
60,377,2799,6585,6070,19297,4143,405,25517,801,4228,350,350,3336,3070,841,1226,36150,179,2235.0,22658.0,6476,0.0,5069.0,101096,4461645.0,2000,MARYLAND,0,0,0,MD
61,60,1412,11597,2517,11171,927,118,12215,625,873,28,1228,2353,985,1599,612,15399,18,2049.0,10722.0,4607,7120.0,7466.0,26458,4831135.0,2000,MASSACHUSETTS,0,0,0,MA
62,138,994,7483,3690,21740,1943,299,24278,756,5254,1329,2154,3368,2836,993,1161,25357,186,3707.0,48962.0,30898,698.0,9503.0,105652,8432749.0,2000,MICHIGAN,0,0,0,MI
63,149,1065,4506,3440,19326,2925,255,18850,2378,5491,8,2660,7598,2219,2027,1242,22268,73,759.0,44823.0,32738,0.0,15977.0,47738,4611338.0,2000,MINNESOTA,1,0,0,MN
64,147,627,1562,2197,9407,771,147,11613,1040,2188,666,691,1098,820,92,311,11368,305,2804.0,10412.0,3156,6393.0,8491.0,35825,1423712.0,2000,MISSISSIPPI,1,0,0,MS
65,239,1764,5306,3704,21283,3421,296,26607,1515,2275,60,1202,6642,3061,1724,1896,22340,150,2513.0,16793.0,5433,1785.0,9776.0,79513,2893853.0,2000,MISSOURI,0,0,0,MO
66,7,25,645,176,1374,117,12,1181,53,118,3,22,537,48,2,64,398,0,134.0,1576.0,1589,0.0,1178.0,2828,344391.0,2000,MONTANA,0,0,0,MT
67,48,311,937,1135,9620,460,145,9784,851,2020,154,1101,3210,1055,469,685,9995,50,1470.0,11550.0,11246,0.0,4380.0,23519,1552714.0,2000,NEBRASKA,0,0,0,NE
